1	0.002	0.04	0.03	0.04
2	0.005	0.08	0.03	0.05
3	0.13	0.75	0.05	0.07
4	0.13	0.89	0.05	0.34
5	0.27	3.2	0.07	0.83
6	0.39	3.6	0.11	1.14
7	0.69	4.6	0.22	1.41
8	0.88	5.8	0.26	1.54
9	1.02	6.2	0.29	3.04
10	1.10	11.9	0.31	3.27
11	2.35	13.6	0.33	3.49
12	2.37	16.6	0.34	5.64
13	4.87	17.8	0.75	7.67
14	5.80	24.0	1.13	8.18
15	7.60	26.1	1.2	9.24
16	13.6	36.1	1.82	16.7
17	14.4	79.7	2.52	27.3
18	19.8	146	3.2	174
19	50.5	2668	4.64	375
20	408	3600	8.6	515
				
				
